PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_152
0,0
0.482978,-302.607
0.965956,-6563.45
1.44893,-24118.2
1.93191,-41878
2.41489,-43668.1
2.89787,-18355.1
3.38085,41167.4
3.86382,140293
4.3468,280738
4.82978,451866
5.31276,632491
5.79574,816914
6.27871,1.03396e+06
6.76169,1.32672e+06
7.24467,1.71046e+06
7.72765,2.15089e+06
8.21062,2.58037e+06
8.6936,2.93328e+06
9.17658,3.17501e+06
9.65956,3.31099e+06
10.1425,3.37119e+06
10.6255,3.38391e+06
11.1085,3.37489e+06
11.5915,3.39082e+06
12.0744,3.48813e+06
12.5574,3.68473e+06
13.0404,3.94678e+06
13.5234,4.2278e+06
14.0064,4.5021e+06
14.4893,4.75898e+06
14.9723,4.98663e+06
15.4553,5.17364e+06
15.9383,5.31887e+06
16.4212,5.43314e+06
16.9042,5.53188e+06
17.3872,5.62719e+06
17.8702,5.72764e+06
18.3532,5.84353e+06
18.8361,5.98431e+06
19.3191,6.14419e+06
19.8021,6.2926e+06
20.2851,6.39126e+06
20.7681,6.43362e+06
21.251,6.46709e+06
21.734,6.56588e+06
22.217,6.77454e+06
22.7,7.0749e+06
23.1829,7.4068e+06
23.6659,7.72287e+06
24.1489,8.02481e+06
24.6319,8.34737e+06
25.1149,8.70893e+06
25.5978,9.08361e+06
26.0808,9.46503e+06
26.5638,9.88328e+06
27.0468,1.02207e+07
27.5297,1.04129e+07
28.0127,1.0478e+07
28.4957,1.03954e+07
28.9787,1.0312e+07
29.4617,1.03504e+07
29.9446,1.04753e+07
30.4276,1.05668e+07
30.9106,1.06093e+07
31.3936,1.0699e+07
31.8765,1.08626e+07
32.3595,1.09971e+07
32.8425,1.10289e+07
33.3255,1.09145e+07
33.8085,1.05829e+07
34.2914,1.00622e+07
34.7744,9.51398e+06
35.2574,9.09877e+06
35.7404,8.89015e+06
36.2233,8.8891e+06
36.7063,9.053e+06
37.1893,9.30138e+06
37.6723,9.54645e+06
38.1553,9.76212e+06
38.6382,9.98547e+06
39.1212,1.02295e+07
39.6042,1.04614e+07
40.0872,1.06578e+07
40.5701,1.07328e+07
41.0531,1.06527e+07
41.5361,1.06339e+07
42.0191,1.05092e+07
42.5021,1.02329e+07
42.985,9.92249e+06
43.468,9.58181e+06
43.951,9.30562e+06
44.434,9.18943e+06
44.9169,9.24459e+06
45.3999,9.38546e+06
45.8829,9.49554e+06
46.3659,9.51567e+06
46.8489,9.4593e+06
47.3318,9.35248e+06
47.8148,9.15921e+06
48.2978,8.78679e+06
48.7808,8.20072e+06
49.2637,7.52099e+06
49.7467,6.9535e+06
50.2297,6.59463e+06
50.7127,6.36226e+06
51.1957,6.18907e+06
51.6786,6.10451e+06
52.1616,6.07858e+06
52.6446,5.90824e+06
53.1276,5.58331e+06
53.6106,5.22412e+06
54.0935,4.93263e+06
54.5765,4.74355e+06
55.0595,4.62035e+06
55.5425,4.50192e+06
56.0254,4.35797e+06
56.5084,4.19977e+06
56.9914,4.0608e+06
57.4744,3.95927e+06
57.9574,3.95378e+06
58.4403,3.96613e+06
58.9233,3.94528e+06
59.4063,3.85282e+06
59.8893,3.71197e+06
60.3722,3.57182e+06
60.8552,3.44801e+06
61.3382,3.31752e+06
61.8212,3.18875e+06
62.3042,3.09135e+06
62.7871,3.02046e+06
63.2701,2.95387e+06
63.7531,2.89e+06
64.2361,2.8515e+06
64.719,2.84975e+06
65.202,2.86401e+06
65.685,2.85722e+06
66.168,2.81453e+06
66.651,2.73661e+06
67.1339,2.64598e+06
67.6169,2.56426e+06
68.0999,2.51397e+06
68.5829,2.52717e+06
69.0658,2.61525e+06
69.5488,2.74529e+06
70.0318,2.85938e+06
70.5148,2.92108e+06
70.9978,2.93411e+06
71.4807,2.90945e+06
71.9637,2.83863e+06
72.4467,2.72469e+06
72.9297,2.59246e+06
73.4126,2.44003e+06
73.8956,2.30451e+06
74.3786,2.28009e+06
74.8616,2.32155e+06
75.3446,2.35037e+06
75.8275,2.38499e+06
76.3105,2.51203e+06
76.7935,2.76972e+06
77.2765,2.89356e+06
77.7594,2.82818e+06
78.2424,2.69722e+06
78.7254,2.53661e+06
79.2084,2.49364e+06
79.6914,2.38357e+06
80.1743,2.22578e+06
80.6573,2.04575e+06
81.1403,1.85864e+06
81.6233,1.66518e+06
82.1062,1.45557e+06
82.5892,1.25437e+06
83.0722,1.11141e+06
83.5552,1.0282e+06
84.0382,943711
84.5211,839384
85.0041,746686
85.4871,662561
85.9701,608871
86.453,586872
86.936,561119
87.419,505795
87.902,394866
88.385,326393
